time,open,high,low,close
2023-06-19 21:00:00+00:00,1.09226,1.09462,1.08922,1.09179
2023-06-20 21:00:00+00:00,1.09164,1.09908,1.09058,1.09866
2023-06-21 21:00:00+00:00,1.09866,1.10120,1.09485,1.09558
2023-06-22 21:00:00+00:00,1.09584,1.09594,1.08444,1.08960
2023-06-25 21:00:00+00:00,1.08990,1.09202,1.08874,1.09050
2023-06-26 21:00:00+00:00,1.09074,1.09766,1.09020,1.09608
2023-06-27 21:00:00+00:00,1.09604,1.09630,1.08968,1.09128
2023-06-28 21:00:00+00:00,1.09138,1.09414,1.08603,1.08644
2023-06-29 21:00:00+00:00,1.08650,1.09318,1.08354,1.09110
2023-07-02 21:00:00+00:00,1.09110,1.09341,1.08704,1.09144
2023-07-03 21:00:00+00:00,1.09121,1.09165,1.08768,1.08780
2023-07-04 21:00:00+00:00,1.08824,1.09080,1.08510,1.08534
2023-07-05 21:00:00+00:00,1.08574,1.09006,1.08336,1.08921
2023-07-06 21:00:00+00:00,1.08892,1.09733,1.08670,1.09688
2023-07-09 21:00:00+00:00,1.09610,1.10016,1.09436,1.10012
2023-07-10 21:00:00+00:00,1.10016,1.10274,1.09769,1.10087
2023-07-11 21:00:00+00:00,1.10043,1.11405,1.10034,1.11316
2023-07-12 21:00:00+00:00,1.11329,1.12280,1.11281,1.12264
2023-07-13 21:00:00+00:00,1.12153,1.12451,1.12041,1.12274
2023-07-16 21:00:00+00:00,1.12346,1.12490,1.12033,1.12398
2023-07-17 21:00:00+00:00,1.12354,1.12757,1.12092,1.12284
2023-07-18 21:00:00+00:00,1.12266,1.12402,1.11744,1.12027
2023-07-19 21:00:00+00:00,1.12004,1.12292,1.11185,1.11298
2023-07-20 21:00:00+00:00,1.11300,1.11450,1.11078,1.11256
2023-07-23 21:00:00+00:00,1.11275,1.11470,1.10603,1.10648
2023-07-24 21:00:00+00:00,1.10654,1.10870,1.10208,1.10548
2023-07-25 21:00:00+00:00,1.10528,1.11070,1.10378,1.10862
2023-07-26 21:00:00+00:00,1.10825,1.11498,1.09660,1.09762
2023-07-27 21:00:00+00:00,1.09773,1.10475,1.09436,1.10171
2023-07-30 21:00:00+00:00,1.10195,1.10459,1.09936,1.09978
2023-07-31 21:00:00+00:00,1.09958,1.10031,1.09524,1.09848
2023-08-01 21:00:00+00:00,1.09831,1.10206,1.09179,1.09389
2023-08-02 21:00:00+00:00,1.09406,1.09629,1.09122,1.09498
2023-08-03 21:00:00+00:00,1.09457,1.10420,1.09352,1.10096
2023-08-06 21:00:00+00:00,1.10175,1.10206,1.09654,1.10027
2023-08-07 21:00:00+00:00,1.10033,1.10113,1.09290,1.09565
2023-08-08 21:00:00+00:00,1.09539,1.09956,1.09518,1.09736
2023-08-09 21:00:00+00:00,1.09771,1.10652,1.09674,1.09806
2023-08-10 21:00:00+00:00,1.09821,1.10051,1.09430,1.09468
2023-08-13 21:00:00+00:00,1.09532,1.09604,1.08748,1.09072
